"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"1","Africa","Africa","217,888.0","387,000.0","527,155.5","696,000.0","1,056,284.8","Region"
"2","Europe","Europe","460,837.0","653,000.0","670,341.8","677,000.0","668,000.0","Region"
"3","Middle East and North Africa","Middle East and North Africa","219,800.0","356,000.0","448,205.9","539,659.1","703,000.0","Region"
"4","North America and Caribbean","North America and Caribbean","273,800.0","322,000.0","361,387.9","387,594.2","413,000.0","Region"
"5","South and Central America","South and Central America","233,013.0","289,000.0","341,253.8","376,772.8","411,682.1","Region"
"6","South-East Asia","South-East Asia","664,000.0","856,000.0","1,033,408.9","1,182,887.0","1,340,000.0","Region"
"7","Western Pacific","Western Pacific","1,219,457.0","1,544,000.0","1,731,706.0","1,806,894.5","1,810,000.0","Region"
"8","Middle East and North Africa","Afghanistan","-","13,733.0","18,579.7","25,391.1","37,406.4","Country"
"9","Europe","Albania","1,887.0","2,172.4","2,103.0","2,064.3","1,880.2","Country"
"10","Middle East and North Africa","Algeria","-","22,619.9","27,196.2","31,204.9","39,895.8","Country"
"11","Western Pacific","American Samoa","-","-","33.5","34.9","35.4","Country"
"12","Europe","Andorra","-","64.5","57.8","58.7","55.9","Country"
"13","Africa","Angola","-","8,362.6","14,503.2","20,218.1","33,771.5","Country"
"14","North America and Caribbean","Anguilla","-","8,362.6","-","-","-","Country"
"15","North America and Caribbean","Antigua and Barbuda","-","56.5","68.6","74.0","78.7","Country"
"16","South and Central America","Argentina","22,831.0","26,264.8","29,757.1","32,708.8","37,062.9","Country"
"17","Europe","Armenia","-","2,138.6","2,087.5","2,140.5","2,088.1","Country"
"18","North America and Caribbean","Aruba","41.0","78.1","78.8","81.4","76.6","Country"
"19","Western Pacific","Australia","13,131.0","15,947.3","18,168.8","19,649.9","22,013.4","Country"
"20","Europe","Austria","6,041.0","6,286.0","6,778.6","6,769.6","6,548.8","Country"
"21","Europe","Azerbaijan","-","6,398.9","7,058.0","7,602.7","8,162.4","Country"
"22","North America and Caribbean","Bahamas","183.0","235.9","274.7","310.1","333.6","Country"
"23","Middle East and North Africa","Bahrain","381.0","986.2","1,328.4","1,561.2","1,789.1","Country"
"24","South-East Asia","Bangladesh","83,797.0","87,708.1","105,257.8","121,309.5","139,261.7","Country"
"25","North America and Caribbean","Barbados","184.0","199.3","208.3","212.4","197.9","Country"
"26","Europe","Belarus","-","7,239.1","6,981.8","6,835.6","6,356.8","Country"
"27","Europe","Belgium","7,458.0","7,768.5","8,347.7","8,530.0","8,482.8","Country"
"28","North America and Caribbean","Belize","116.0","169.7","244.3","301.9","380.8","Country"
"29","Africa","Benin","-","4,133.9","5,874.4","7,780.0","11,857.3","Country"
"30","North America and Caribbean","Bermuda","37.0","45.3","44.5","43.2","38.4","Country"
"31","South-East Asia","Bhutan","-","443.2","509.0","585.4","673.3","Country"
"32","South and Central America","Bolivia (Plurinational State of)","4,130.0","5,337.9","6,951.2","8,212.6","10,108.3","Country"
"33","Europe","Bosnia and Herzegovina","-","2,875.6","2,506.8","2,449.4","2,101.8","Country"
"34","Africa","Botswana","-","1,146.9","1,361.6","1,681.5","2,215.8","Country"
"35","South and Central America","Brazil","102,431.0","127,994.8","149,916.8","161,892.7","169,190.2","Country"
"36","North America and Caribbean","British Virgin Islands","11.0","14.8","20.1","21.6","22.2","Country"
"37","Western Pacific","Brunei Darussalam","-","265.8","307.9","341.8","369.1","Country"
"38","Europe","Bulgaria","6,142.0","5,744.6","5,227.1","4,811.1","4,153.4","Country"
"39","Africa","Burkina Faso","-","7,421.6","9,587.0","13,051.5","20,680.5","Country"
"40","Africa","Burundi","-","4,352.5","5,434.6","7,376.4","12,009.3","Country"
"41","Africa","Cabo Verde","-","280.9","351.3","408.6","480.9","Country"
"42","Western Pacific","Cambodia","-","8,079.6","10,169.2","11,790.1","14,367.7","Country"
"43","Africa","Cameroon","6,822.0","9,676.4","12,827.9","16,947.7","25,565.0","Country"
"44","North America and Caribbean","Canada","21,389.0","25,140.9","28,352.3","30,071.1","31,715.7","Country"
"45","North America and Caribbean","Cayman Islands","24.0","35.8","43.9","49.8","57.4","Country"
"46","Africa","Central African Republic","-","2,179.8","2,176.2","2,904.5","4,288.0","Country"
"47","Africa","Chad","-","2,179.8","7,131.9","9,821.4","15,800.8","Country"
"48","Europe","Channel Islands","-","116.4","131.2","137.6","141.3","Country"
"49","South and Central America","Chile","9,405.0","11,680.5","13,762.5","14,136.1","14,736.4","Country"
"50","Western Pacific","China","847,913.0","968,974.9","1,079,960.8","1,105,921.3","1,066,546.2","Country"
"51","Western Pacific","China, Hong Kong SAR","5,067.0","5,603.6","5,921.4","6,025.2","5,622.4","Country"
"52","Western Pacific","China, Macao SAR","323.0","-","525.7","565.0","600.1","Country"
"53","South and Central America","Colombia","23,967.0","28,724.0","34,882.8","37,913.3","40,714.0","Country"
"54","Africa","Comoros","-","358.5","449.3","568.9","801.0","Country"
"55","Africa","Congo","1,257.0","2,019.0","2,729.4","3,579.7","5,321.0","Country"
"56","Western Pacific","Cook Islands","-","11.8","-","-","-","Country"
"57","South and Central America","Costa Rica","2,286.0","3,075.6","3,603.3","3,936.9","4,186.3","Country"
"58","Europe","Croatia","3,306.0","3,313.6","3,058.7","2,929.3","2,561.8","Country"
"59","South and Central America","Cuba","7,821.0","8,264.8","8,459.2","8,348.6","7,628.6","Country"
"60","North America and Caribbean","Curaçao","-","-","117.7","122.6","121.8","Country"
"61","Europe","Cyprus","518.0","809.0","900.4","960.6","1,011.9","Country"
"62","Europe","Czechia","7,624.0","8,049.5","8,058.7","7,894.8","7,703.6","Country"
"63","Africa","Côte d'Ivoire","6,547.0","9,676.6","12,830.9","16,716.5","25,085.2","Country"
"64","Western Pacific","Democratic People's Republic of Korea","-","16,599.4","18,453.4","19,206.9","19,587.7","Country"
"65","Africa","Democratic Republic of the Congo","21,078.0","28,894.3","40,044.2","54,818.4","89,796.0","Country"
"66","Europe","Denmark","3,853.0","3,989.7","4,243.7","4,272.2","4,308.6","Country"
"67","Africa","Djibouti","-","481.0","618.6","724.1","885.7","Country"
"68","North America and Caribbean","Dominica","39.0","42.7","47.6","49.8","49.9","Country"
"69","South and Central America","Dominican Republic","4,797.0","5,846.8","6,832.4","7,664.8","8,706.8","Country"
"70","South and Central America","Ecuador","6,934.0","8,692.6","11,175.2","12,859.2","15,405.8","Country"
"71","Middle East and North Africa","Egypt","36,388.0","48,305.2","59,379.9","69,928.2","94,214.4","Country"
"72","South and Central America","El Salvador","3,337.0","3,449.4","4,095.7","4,458.0","4,887.0","Country"
"73","Africa","Equatorial Guinea","-","3,449.4","782.9","1,030.6","1,529.0","Country"
"74","Africa","Eritrea","-","2,595.5","1,718.3","2,225.9","3,216.7","Country"
"75","Europe","Estonia","1,014.0","1,001.3","960.0","930.9","850.3","Country"
"76","Africa","Eswatini","-","589.3","600.9","733.8","1,018.4","Country"
"77","Africa","Ethiopia","26,985.0","39,916.6","57,503.7","76,382.9","113,599.8","Country"
"78","Europe","Faroe Islands","-","-","35.3","36.2","37.4","Country"
"79","Western Pacific","Fiji","463.0","531.7","560.2","612.5","700.1","Country"
"80","Europe","Finland","3,731.0","3,907.8","4,061.1","4,025.8","3,896.7","Country"
"81","Europe","France","41,927.0","44,329.0","46,024.0","46,754.0","46,083.8","Country"
"82","South and Central America","French Guiana","-","134.5","-","-","-","Country"
"83","Western Pacific","French Polynesia","-","179.0","194.3","213.3","224.3","Country"
"84","Africa","Gabon","612.0","812.0","1,217.0","1,496.3","2,146.9","Country"
"85","Africa","Gambia","652.0","802.9","1,126.4","1,509.6","2,401.9","Country"
"86","Europe","Georgia","3,379.0","3,155.2","2,803.6","2,720.1","2,550.0","Country"
"87","Europe","Germany","61,874.0","62,810.3","62,027.7","61,188.8","56,985.7","Country"
"88","Africa","Ghana","9,168.0","12,655.5","16,732.9","20,915.9","28,922.2","Country"
"89","Europe","Greece","7,991.0","8,695.7","7,658.6","7,497.5","6,770.9","Country"
"90","Europe","Greenland","-","-","40.7","40.8","37.7","Country"
"91","North America and Caribbean","Grenada","58.0","63.6","76.2","79.7","84.0","Country"
"92","North America and Caribbean","Guadeloupe","-","309.4","-","-","-","Country"
"93","Western Pacific","Guam","-","114.5","112.6","122.6","130.6","Country"
"94","South and Central America","Guatemala","5,079.0","6,936.9","10,099.3","12,715.8","16,838.7","Country"
"95","Africa","Guinea","-","4,722.8","6,146.5","8,378.6","12,992.4","Country"
"96","Africa","Guinea-Bissau","-","739.7","956.8","1,239.1","1,845.9","Country"
"97","North America and Caribbean","Guyana","514.0","422.6","489.0","524.8","558.0","Country"
"98","North America and Caribbean","Haiti","3,861.0","5,369.9","6,581.8","7,745.8","9,553.7","Country"
"99","Europe","Holy See","-","-","0.6","0.6","0.6","Country"
"100","South and Central America","Honduras","3,029.0","4,007.6","5,887.6","7,270.3","9,158.8","Country"
"101","Europe","Hungary","7,431.0","7,520.8","7,309.6","7,001.3","6,377.3","Country"
"102","Europe","Iceland","187.0","222.2","242.7","257.9","265.1","Country"
"103","South-East Asia","India","567,714.0","737,003.3","893,910.0","1,022,119.2","1,154,012.2","Country"
"104","Western Pacific","Indonesia","124,758.0","154,277.6","179,720.5","202,250.8","228,927.1","Country"
"105","Middle East and North Africa","Iran (Islamic Republic of)","34,421.0","50,322.3","57,370.4","63,731.4","73,735.5","Country"
"106","Middle East and North Africa","Iraq","10,945.0","15,068.7","21,391.1","27,672.2","39,615.6","Country"
"107","Europe","Ireland","2,514.0","3,152.1","3,474.7","3,754.8","4,027.3","Country"
"108","Europe","Isle of Man","-","-","61.4","62.5","63.8","Country"
"109","Europe","Israel","3,821.0","4,707.8","5,407.2","6,198.0","7,693.0","Country"
"110","Europe","Italy","43,910.0","45,637.1","45,153.7","44,411.8","40,178.6","Country"
"111","North America and Caribbean","Jamaica","1,484.0","1,641.5","1,991.4","2,103.1","2,164.9","Country"
"112","Western Pacific","Japan","95,849.0","95,340.6","93,187.4","86,423.8","76,932.9","Country"
"113","Middle East and North Africa","Jordan","3,129.0","3,268.4","5,854.1","6,701.1","8,458.9","Country"
"114","Europe","Kazakhstan","10,059.0","10,662.7","11,949.4","13,147.8","15,537.9","Country"
"115","Africa","Kenya","13,334.0","19,425.8","27,783.4","36,915.2","52,173.7","Country"
"116","Western Pacific","Kiribati","-","60.3","66.8","78.9","102.4","Country"
"117","Middle East and North Africa","Kuwait","1,084.0","1,868.9","3,152.8","3,607.7","4,026.8","Country"
"118","Europe","Kyrgyzstan","2,537.0","3,142.1","3,908.1","4,475.3","5,670.8","Country"
"119","Western Pacific","Lao People's Democratic Republic","-","3,368.8","4,291.5","5,124.9","6,355.4","Country"
"120","Europe","Latvia","-","1,709.9","1,353.3","1,239.8","1,085.6","Country"
"121","Middle East and North Africa","Lebanon","1,875.0","2,788.6","4,449.4","4,333.9","4,649.2","Country"
"122","Africa","Lesotho","-","1,106.4","1,233.9","1,381.4","1,649.7","Country"
"123","Africa","Liberia","-","1,900.3","2,518.2","3,309.3","4,843.7","Country"
"124","Middle East and North Africa","Libya","2,784.0","3,875.0","4,425.1","5,129.1","6,069.6","Country"
"125","Europe","Liechtenstein","-","26.7","27.8","28.5","28.0","Country"
"126","Europe","Lithuania","2,603.0","2,470.2","1,976.1","1,777.0","1,535.2","Country"
"127","Europe","Luxembourg","316.0","375.3","475.9","515.7","559.6","Country"
"128","Africa","Madagascar","7,249.0","9,770.3","13,919.8","18,439.8","27,629.5","Country"
"129","Africa","Malawi","-","6,563.5","8,982.4","12,401.5","19,253.5","Country"
"130","Western Pacific","Malaysia","12,291.0","17,402.7","22,130.9","25,072.6","28,791.5","Country"
"131","South-East Asia","Maldives","-","198.9","404.7","382.2","448.9","Country"
"132","Africa","Mali","4,685.0","6,660.7","8,714.9","12,066.3","19,788.0","Country"
"133","Europe","Malta","273.0","316.0","336.3","327.1","309.4","Country"
"134","Western Pacific","Marshall Islands","-","32.7","36.4","41.1","48.2","Country"
"135","North America and Caribbean","Martinique","-","284.5","-","-","-","Country"
"136","Africa","Mauritania","-","1,756.4","2,386.6","3,112.5","4,633.3","Country"
"137","South-East Asia","Mauritius","753.0","898.9","943.4","974.0","906.6","Country"
"138","Africa","Mayotte","-","-","139.1","189.3","276.3","Country"
"139","North America and Caribbean","Mexico","55,174.0","69,324.0","83,741.6","95,133.3","108,490.6","Country"
"140","Western Pacific","Micronesia (Federated States of)","-","57.5","68.5","77.7","89.6","Country"
"141","Europe","Monaco","-","26.1","28.7","30.2","31.2","Country"
"142","Western Pacific","Mongolia","-","1,742.0","2,042.7","2,290.7","2,863.4","Country"
"143","Europe","Montenegro","-","455.1","454.5","458.5","435.0","Country"
"144","Middle East and North Africa","Morocco","15,925.0","19,964.6","23,992.8","27,289.7","31,571.5","Country"
"145","Africa","Mozambique","8,722.0","10,767.4","14,317.6","19,542.2","31,195.3","Country"
"146","Western Pacific","Myanmar","-","31,390.4","35,558.9","40,131.0","43,963.1","Country"
"147","Africa","Namibia","-","1,216.3","1,375.3","1,671.8","2,298.9","Country"
"148","Western Pacific","Nauru","-","6.2","6.6","7.0","7.2","Country"
"149","South-East Asia","Nepal","-","16,135.9","17,977.5","22,422.9","26,009.3","Country"
"150","Europe","Netherlands","11,494.0","12,059.2","12,631.9","12,671.3","12,085.0","Country"
"151","North America and Caribbean","Netherlands Antilles","143.0","146.4","-","-","-","Country"
"152","Western Pacific","New Caledonia","-","165.1","199.4","221.8","244.3","Country"
"153","Western Pacific","New Zealand","2,607.0","3,040.5","3,423.2","3,636.0","3,829.6","Country"
"154","South and Central America","Nicaragua","-","3,163.3","4,066.0","4,775.4","5,765.4","Country"
"155","Africa","Niger","-","6,511.2","9,870.6","14,279.7","25,939.8","Country"
"156","Africa","Nigeria","50,671.0","75,551.4","96,812.4","125,980.6","191,555.1","Country"
"157","Western Pacific","Niue","-","0.8","-","-","-","Country"
"158","Western Pacific","Northern Mariana Islands","-","-","35.3","38.6","41.0","Country"
"159","Europe","North Macedonia","1,369.0","1,513.2","1,571.6","1,561.2","1,457.2","Country"
"160","Europe","Norway","3,127.0","3,454.7","3,969.6","4,235.9","4,567.7","Country"
"161","Middle East and North Africa","Oman","-","1,810.3","3,762.3","4,255.2","5,102.1","Country"
"162","Middle East and North Africa","Pakistan","74,491.0","94,447.0","123,526.4","152,157.6","204,214.2","Country"
"163","Western Pacific","Palau","-","12.3","11.1","11.7","11.8","Country"
"164","South and Central America","Panama","1,662.0","2,190.8","2,779.6","3,225.2","3,828.1","Country"
"165","Western Pacific","Papua New Guinea","2,438.0","3,553.7","4,974.1","6,170.4","8,204.7","Country"
"166","South and Central America","Paraguay","2,693.0","3,648.5","4,400.2","5,069.5","6,035.4","Country"
"167","South and Central America","Peru","14,217.0","17,503.7","22,044.0","24,276.6","27,689.5","Country"
"168","Western Pacific","Philippines","39,787.0","51,334.9","66,754.4","78,712.3","94,788.6","Country"
"169","Europe","Poland","27,136.0","28,917.5","28,518.0","27,634.8","24,980.4","Country"
"170","Europe","Portugal","7,309.0","8,028.8","7,640.6","7,450.2","6,688.6","Country"
"171","South and Central America","Puerto Rico","2,517.0","2,546.5","2,052.8","2,212.4","1,862.3","Country"
"172","Middle East and North Africa","Qatar","398.0","1,542.0","2,406.6","2,744.1","3,112.6","Country"
"173","Africa","Réunion","-","552.2","-","-","-","Country"
"174","Western Pacific","Republic of Korea","32,565.0","36,204.1","40,647.9","40,601.2","35,708.1","Country"
"175","Europe","Republic of Moldova","-","2,610.0","3,094.6","3,028.1","2,719.0","Country"
"176","Europe","Romania","16,339.0","16,349.3","14,231.4","13,736.0","12,364.9","Country"
"177","Europe","Russian Federation","-","109,167.0","105,944.9","103,546.3","98,280.8","Country"
"178","Africa","Rwanda","-","5,147.2","6,631.2","8,667.5","12,665.4","Country"
"179","North America and Caribbean","Saint Kitts and Nevis","26.0","33.4","35.3","37.9","39.3","Country"
"180","North America and Caribbean","Saint Lucia","-","111.5","134.5","141.9","141.7","Country"
"181","North America and Caribbean","Saint Vincent and the Grenadines","-","68.8","75.8","80.4","80.6","Country"
"182","Western Pacific","Samoa","-","93.0","104.8","122.4","152.7","Country"
"183","Europe","San Marino","-","23.8","25.4","25.9","24.7","Country"
"184","Africa","Sao Tome and Principe","-","81.1","104.3","136.5","199.8","Country"
"185","Middle East and North Africa","Saudi Arabia","10,581.0","17,023.2","24,194.3","27,810.9","32,998.2","Country"
"186","Africa","Senegal","4,219.0","5,785.5","8,036.7","10,723.6","16,603.5","Country"
"187","Europe","Serbia","-","7,177.2","6,521.1","6,264.2","5,555.3","Country"
"188","Africa","Seychelles","-","39.6","67.2","70.8","73.2","Country"
"189","Africa","Sierra Leone","-","2,794.3","3,961.1","5,073.7","7,182.3","Country"
"190","Western Pacific","Singapore","2,507.0","3,838.9","4,767.9","5,006.0","4,771.4","Country"
"191","Europe","Slovakia","3,784.0","4,145.0","4,159.0","4,068.7","3,764.4","Country"
"192","Europe","Slovenia","1,486.0","1,563.1","1,553.5","1,524.4","1,403.8","Country"
"193","Western Pacific","Solomon Islands","-","274.8","347.9","443.1","655.9","Country"
"194","Africa","Somalia","-","4,275.7","6,917.0","9,404.5","15,145.9","Country"
"195","Africa","South Africa","21,932.0","30,111.8","37,416.8","42,592.1","50,460.1","Country"
"196","Africa","South Sudan","-","-","5,432.7","6,986.0","10,243.3","Country"
"197","Europe","Spain","29,899.0","34,895.6","34,841.3","34,817.5","32,130.1","Country"
"198","South-East Asia","Sri Lanka","11,757.0","13,893.8","14,406.6","15,093.8","15,271.0","Country"
"199","Middle East and North Africa","State of Palestine","-","1,896.0","2,689.4","3,499.5","5,081.1","Country"
"200","Middle East and North Africa","Sudan","14,313.0","22,000.2","22,054.0","28,954.8","42,238.9","Country"
"201","North America and Caribbean","Suriname","237.0","329.9","376.7","418.0","463.9","Country"
"202","Europe","Sweden","6,341.0","6,763.9","7,259.2","7,407.2","7,822.5","Country"
"203","Europe","Switzerland","5,389.0","5,707.7","6,506.6","6,708.1","6,878.8","Country"
"204","Middle East and North Africa","Syrian Arab Republic","7,510.0","10,824.5","10,936.9","16,400.8","21,926.6","Country"
"205","Western Pacific","Taiwan","13,262.0","17,355.8","18,797.5","18,687.4","16,713.2","Country"
"206","Europe","Tajikistan","-","3,543.9","5,238.9","6,328.2","8,886.7","Country"
"207","Western Pacific","Thailand","39,759.0","49,088.0","52,223.5","53,602.5","50,050.4","Country"
"208","Western Pacific","Timor-Leste","-","484.2","689.7","865.4","1,172.1","Country"
"209","Africa","Togo","1,991.0","3,037.3","4,121.1","5,399.4","7,908.1","Country"
"210","Western Pacific","Tokelau","-","0.7","-","-","-","Country"
"211","Western Pacific","Tonga","65.0","53.0","57.5","66.2","78.6","Country"
"212","North America and Caribbean","Trinidad and Tobago","809.0","953.0","1,005.4","1,036.2","1,012.0","Country"
"213","Middle East and North Africa","Tunisia","5,555.0","7,084.3","8,046.4","8,750.4","9,769.9","Country"
"214","Europe","Turkey","40,474.0","47,322.4","56,658.9","61,738.9","68,517.7","Country"
"215","Europe","Turkmenistan","-","3,048.4","3,702.9","4,211.3","5,171.0","Country"
"216","Western Pacific","Tuvalu","-","5.7","7.3","8.4","10.0","Country"
"217","Africa","Uganda","8,405.0","13,932.2","20,127.6","28,289.4","45,931.4","Country"
"218","Europe","Ukraine","36,542.0","34,542.8","32,683.0","31,147.2","27,568.7","Country"
"219","Middle East and North Africa","United Arab Emirates","-","6,107.4","8,057.1","8,547.2","8,254.8","Country"
"220","Europe","United Kingdom","41,638.0","44,813.1","48,928.0","49,998.8","51,605.3","Country"
"221","Africa","United Republic of Tanzania","14,466.0","20,498.9","28,027.1","38,160.1","60,413.3","Country"
"222","North America and Caribbean","United States of America","190,081.0","216,804.8","237,306.1","248,885.6","257,576.7","Country"
"223","South and Central America","Uruguay","2,166.0","2,237.1","2,380.4","2,474.6","2,556.9","Country"
"224","North America and Caribbean","US Virgin Islands","-","75.4","73.4","69.8","60.6","Country"
"225","Europe","Uzbekistan","-","16,397.4","21,349.8","24,421.9","29,222.7","Country"
"226","Western Pacific","Vanuatu","-","125.5","161.8","210.1","301.9","Country"
"227","South and Central America","Venezuela (Bolivarian Republic of)","13,332.0","17,838.5","18,107.8","22,622.1","25,320.8","Country"
"228","Western Pacific","Viet Nam","-","58,408.1","66,984.8","72,509.1","77,984.2","Country"
"229","Middle East and North Africa","Yemen","-","10,902.1","15,412.9","19,988.4","28,574.2","Country"
"230","Africa","Zambia","3,692.0","5,717.3","8,441.9","11,744.3","18,623.4","Country"
"231","Africa","Zimbabwe","5,404.0","6,164.7","7,110.8","9,138.2","13,367.3","Country"